table_name,column_name,data_type,TRUE,FALSE,notes,,
,,,FALSE,FALSE,,,
account_profile,created,timestamp with time zone,FALSE,TRUE,,,
account_profile,modified,timestamp with time zone,FALSE,TRUE,,,
account_profile,user_id,integer,TRUE,FALSE,EXPORTALL,,
account_profile,creator_id,integer,FALSE,TRUE,,,
account_profile,home_id,integer,FALSE,TRUE,,,
account_profile,phone,character varying,FALSE,TRUE,,,
account_profile,mobile,character varying,FALSE,TRUE,,,
account_profile,voip,character varying,FALSE,TRUE,,,
account_profile,pgp,character varying,FALSE,TRUE,,,
account_profile,notes,text,FALSE,TRUE,,,
account_profile,language,character varying,FALSE,TRUE,,,
account_profile,function,integer,TRUE,FALSE,,,
account_profile,expires,timestamp with time zone,FALSE,TRUE,,,
account_profile,cafe_auth,boolean,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
actstream_action,id,integer,TRUE,FALSE,relacionado com djando_content_type,,
actstream_action,actor_content_type_id,integer,TRUE,FALSE,acoes que o usuario fez na interface,,
actstream_action,actor_object_id,character varying,TRUE,FALSE,,,
actstream_action,verb,character varying,TRUE,FALSE,,,
actstream_action,description,text,TRUE,FALSE,,,
actstream_action,target_content_type_id,integer,TRUE,FALSE,,,
actstream_action,target_object_id,character varying,TRUE,FALSE,,,
actstream_action,action_object_content_type_id,integer,TRUE,FALSE,,,
actstream_action,action_object_object_id,character varying,TRUE,FALSE,,,
actstream_action,timestamp,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
actstream_action,public,boolean,TRUE,FALSE,,,
actstream_action,data,text,TRUE,FALSE,,,
,,,,,,,
actstream_follow,id,integer,TRUE,FALSE,,,
actstream_follow,user_id,integer,TRUE,FALSE,,,
actstream_follow,content_type_id,integer,TRUE,FALSE,,,
actstream_follow,object_id,character varying,TRUE,FALSE,,,
actstream_follow,actor_only,boolean,TRUE,FALSE,,,
actstream_follow,started,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
,,,FALSE,FALSE,,,
aggregation_rememberconfig,id,integer,FALSE,TRUE,,,
aggregation_rememberconfig,interval,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
attachments_attachment,reusableplugin_ptr_id,integer,TRUE,FALSE,"dados de anexos, usuario que enviou, numero de revisions via previous_revision_id",,
attachments_attachment,current_revision_id,integer,TRUE,FALSE,JOIN attachments_attachmentrevision.id,,
attachments_attachment,original_filename,character varying,TRUE,FALSE,ANON-NUM,,
,,,FALSE,FALSE,,,
attachments_attachmentrevision,id,integer,TRUE,FALSE,,,
attachments_attachmentrevision,revision_number,integer,TRUE,FALSE,,,
attachments_attachmentrevision,user_message,text,TRUE,FALSE,TEXT,,
attachments_attachmentrevision,automatic_log,text,TRUE,FALSE,,,
attachments_attachmentrevision,ip_address,inet,TRUE,FALSE,ANON-IP,,
attachments_attachmentrevision,user_id,integer,TRUE,FALSE,,,
attachments_attachmentrevision,modified,timestamp with time zone,TRUE,FALSE,,,
attachments_attachmentrevision,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
attachments_attachmentrevision,previous_revision_id,integer,TRUE,FALSE,,,
attachments_attachmentrevision,deleted,boolean,TRUE,FALSE,,,
attachments_attachmentrevision,locked,boolean,TRUE,FALSE,,,
attachments_attachmentrevision,attachment_id,integer,TRUE,FALSE,,,
attachments_attachmentrevision,file,character varying,TRUE,FALSE,ANON-NUM,,
attachments_attachmentrevision,description,text,TRUE,FALSE,TEXT,,
,,,FALSE,FALSE,,,
auth_group,id,integer,FALSE,TRUE,,,
auth_group,name,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
auth_group_permissions,id,integer,FALSE,TRUE,,,
auth_group_permissions,group_id,integer,FALSE,TRUE,,,
auth_group_permissions,permission_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
auth_permission,id,integer,FALSE,TRUE,,,
auth_permission,name,character varying,FALSE,TRUE,,,
auth_permission,content_type_id,integer,FALSE,TRUE,,,
auth_permission,codename,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
auth_user,id,integer,TRUE,FALSE,EXPORTALL,,
auth_user,password,character varying,FALSE,TRUE,,,
auth_user,last_login,timestamp with time zone,FALSE,TRUE,,,
auth_user,is_superuser,boolean,TRUE,FALSE,,,
auth_user,username,character varying,FALSE,TRUE,,,
auth_user,first_name,character varying,FALSE,TRUE,,,
auth_user,last_name,character varying,FALSE,TRUE,,,
auth_user,email,character varying,FALSE,TRUE,,,
auth_user,is_staff,boolean,TRUE,FALSE,,,
auth_user,is_active,boolean,TRUE,FALSE,,,
auth_user,date_joined,timestamp with time zone,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
auth_user_groups,id,integer,FALSE,TRUE,,,
auth_user_groups,user_id,integer,FALSE,TRUE,,,
auth_user_groups,group_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
auth_user_user_permissions,id,integer,FALSE,TRUE,,,
auth_user_user_permissions,user_id,integer,FALSE,TRUE,,,
auth_user_user_permissions,permission_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
celery_taskmeta,id,integer,FALSE,TRUE,,,
celery_taskmeta,task_id,character varying,FALSE,TRUE,,,
celery_taskmeta,status,character varying,FALSE,TRUE,,,
celery_taskmeta,result,text,FALSE,TRUE,,,
celery_taskmeta,date_done,timestamp with time zone,FALSE,TRUE,,,
celery_taskmeta,traceback,text,FALSE,TRUE,,,
celery_taskmeta,hidden,boolean,FALSE,TRUE,,,
celery_taskmeta,meta,text,FALSE,TRUE,,,
celery_tasksetmeta,id,integer,FALSE,TRUE,,,
celery_tasksetmeta,taskset_id,character varying,FALSE,TRUE,,,
celery_tasksetmeta,result,text,FALSE,TRUE,,,
celery_tasksetmeta,date_done,timestamp with time zone,FALSE,TRUE,,,
celery_tasksetmeta,hidden,boolean,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
contact_contact,id,integer,FALSE,TRUE,,,
contact_contact,created,timestamp with time zone,FALSE,TRUE,,,
contact_contact,modified,timestamp with time zone,FALSE,TRUE,,,
contact_contact,slug,character varying,FALSE,TRUE,,,
contact_contact,name,character varying,FALSE,TRUE,,,
contact_contact,email,character varying,FALSE,TRUE,,,
contact_contact,phone,character varying,FALSE,TRUE,,,
contact_contact,creator_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
contact_contact_organizations,id,integer,TRUE,FALSE,para fazer o join de contatos na mesma org,,
